role,company,year,person
Director,BYOMED AI LOSUNG PVT LTD,2023,Kanchan Singh
Director,CELLO WORLD LIMITED,2023,PUSHAPRAJ SINGHVI
Director,JNV VENTURES PVT LTD,2022,Vijay Jeevan Sujan
Director,BETHEL AUTOMOTIVE SAFETY SYSTEMS (INDIA)PVT LTD,2022,JAIPRAKASH KHANCHAND VASDANI
Director,JNV VENTURES PVT LTD,2022,JAIPRAKASH KHANCHAND VASDANI
Director,JNV NEXTGEN PVT LTD,2022,JAIPRAKASH KHANCHAND VASDANI
Director,JNV VENTURES PVT LTD,2022,Neelkumar Rewachand Sujan
Director,JNV NEXTGEN PVT LTD,2022,Neelkumar Rewachand Sujan
Director,HUSE MOBILITY PVT LTD,2022,Narendra Harish Sujan
Director,HUSE MOBILITY PVT LTD,2022,BRIJESH ASHOK SUJAN
Managing Director,BIOSPARK-HEALTHCARE PVT LTD,2022,PRASHANT KOTHARI
Director,HOLIX HEALTHCARE PVT LTD,2022,Kanchan Singh
Director,BETHEL AUTOMOTIVE SAFETY SYSTEMS (INDIA)PVT LTD,2022,NILESH BASTIMAL JAIN
Director,SUJAN CONTITECH AVS PVT LTD,2022,FRANZISKA JOHANNA JUNG
Director,JNV NEXTGEN PVT LTD,2022,RUCHI GARG
Director,D4DT.AI PVT LTD,2022,RUCHI GARG
Director,JNV NEXTGEN PVT LTD,2022,DEEPAK MITTAL
Director,JNV NEXTGEN PVT LTD,2022,SHUKTIJ SINGH RAO
Designated Partner,OVO LOGISTICS LLP,2021,Vijay Jeevan Sujan
Director,BIOSPARK-HEALTHCARE PVT LTD,2021,Vijay Jeevan Sujan
Director,JNV CANNACO PVT LTD,2021,Vijay Jeevan Sujan
Director,JNV AEROSPACE AND DEFENCE PVT LTD,2021,Vijay Jeevan Sujan
Director,JNV ARECA PVT LTD,2021,Vijay Jeevan Sujan
Director,BIOSPARK-HEALTHCARE PVT LTD,2021,JAIPRAKASH KHANCHAND VASDANI
Director,JNV ARECA PVT LTD,2021,JAIPRAKASH KHANCHAND VASDANI
Director,JNV AEROSPACE AND DEFENCE PVT LTD,2021,JAIPRAKASH KHANCHAND VASDANI
Director,JNV CANNACO PVT LTD,2021,JAIPRAKASH KHANCHAND VASDANI
Director,JNV ARECA PVT LTD,2021,Neelkumar Rewachand Sujan
Director,BIOSPARK-HEALTHCARE PVT LTD,2021,Neelkumar Rewachand Sujan
Director,JNV CANNACO PVT LTD,2021,Neelkumar Rewachand Sujan
Director,JNV AEROSPACE AND DEFENCE PVT LTD,2021,Neelkumar Rewachand Sujan
Designated Partner,OVO LOGISTICS LLP,2021,Aniket Madhavrao Khalkar
Director,GVO LOGISTICS PVT LTD,2021,Aniket Madhavrao Khalkar
Director,JNV ARECA PVT LTD,2021,RASHMI JAIN
Director,JAYVEEN ESTABLISHMENT PVT LTD,2021,RASHMI JAIN
Director,JNV ARECA PVT LTD,2021,GUTTA VENKATA KUMARI
Designated Partner,ALFA UNIVERSAL VENTURES LLP,2021,NILESH BASTIMAL JAIN
Director,GVO LOGISTICS PVT LTD,2021,NILESH BASTIMAL JAIN
Designated Partner,SHIVHEAL FARMING LLP,2020,Vijay Jeevan Sujan
Designated Partner,SHIVHEAL FARMING LLP,2020,JAIPRAKASH KHANCHAND VASDANI
Designated Partner,SHIVHEAL FARMING LLP,2020,Neelkumar Rewachand Sujan
Director,SUJAN LTI REENERGY PVT LTD,2020,Narendra Harish Sujan
Director,SUJAN LTI REENERGY PVT LTD,2020,BRIJESH ASHOK SUJAN
Designated Partner,KAIZA ENTERPRISE LLP,2020,SATVINDARKAUR VIJAY SUJAN
Designated Partner,KAIZA CONSULTANCY LLP,2020,SATVINDARKAUR VIJAY SUJAN
Designated Partner,KAIZA INFRA LLP,2020,SATVINDARKAUR VIJAY SUJAN
Designated Partner,ACW INFRA PROJECTS LLP,2020,RASHMI JAIN
Individual Partner,SHIVHEAL FARMING LLP,2020,Kanchan Singh
Designated Partner,KAIZA ENTERPRISE LLP,2020,Kanchan Singh
Designated Partner,KAIZA CONSULTANCY LLP,2020,Kanchan Singh
Designated Partner,KAIZA INFRA LLP,2020,Kanchan Singh
Director,POLYRUB COOPER STANDARD FTS PVT LTD,2020,THOMAS BARKLEY STIMSON
Director,JNV-BETHEL AUTOMOTIVE SAFETY SYSTEMS(INDIA) PVT LTD,2019,Vijay Jeevan Sujan
Designated Partner,JNV VENTURES LLP,2019,Vijay Jeevan Sujan
Designated Partner,JNV VENTURES LLP,2019,JAIPRAKASH KHANCHAND VASDANI
